Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date,Daily Average
Sistema,Sistema,46.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,1/1/2000,32.28479
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,32.28479,32.28479,32.28479,1/2/2000,33.0673987
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,47.98479,50.28479,50.28479,39.28479,32.28479,32.28479,32.28479,32.28479,50.28479,50.28479,39.28479,50.28479,32.28479,32.28479,1/3/2000,37.48913783
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,46.28479,32.28479,32.28479,50.28479,50.28479,50.28479,50.28479,50.28479,41.28479,41.28479,41.28479,47.98479,32.28479,50.28479,50.28479,50.28479,50.28479,39.28479,32.28479,1/4/2000,42.09783348
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,46.28479,41.28479,39.28479,49.28479,32.28479,32.28479,32.28479,50.28479,49.28479,47.98479,41.28479,47.98479,32.28479,48.48479,50.28479,32.28479,49.28479,51.28479,46.28479,1/5/2000,41.2673987
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,46.28479,46.28479,32.28479,32.28479,32.28479,41.28479,48.28479,41.28479,32.28479,32.28479,32.28479,32.28479,32.28479,48.78479,48.78479,32.28479,32.28479,32.28479,46.28479,1/6/2000,37.02392043
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,39.28479,39.28479,46.28479,46.28479,46.28479,41.28479,39.28479,39.28479,39.28479,32.28479,46.28479,46.28479,46.28479,39.28479,46.28479,32.28479,1/7/2000,38.76305087
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,1/8/2000,32.28479
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,1/9/2000,32.28479
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,1/10/2000,32.28479
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,55.28479,32.28479,32.28479,32.28479,32.28479,1/11/2000,34.0673987
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,48.68479,32.28479,32.28479,32.28479,32.28479,50.28479,48.78479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,50.28479,32.28479,32.28479,32.28479,32.28479,1/12/2000,36.06305087
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,48.78479,32.28479,48.88479,50.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,48.58479,50.28479,32.28479,32.28479,32.28479,32.28479,1/13/2000,35.99783348
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,32.28479,32.28479,48.88479,50.28479,48.88479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,50.28479,32.28479,32.28479,32.28479,32.28479,1/14/2000,36.85870304
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,32.28479,32.28479,32.28479,32.28479,1/15/2000,33.0673987
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,1/16/2000,32.28479
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,32.28479,50.28479,32.28479,32.28479,1/17/2000,33.85000739
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,50.28479,50.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,55.78479,55.78479,50.28479,50.28479,53.78479,32.28479,1/18/2000,39.17609435
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,56.28479,56.28479,50.28479,32.28479,53.28479,32.28479,1/19/2000,36.0673987
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,46.28479,50.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,56.28479,50.28479,50.28479,52.20479,46.28479,1/20/2000,39.32479
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,41.28479,41.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,61.28479,50.28479,50.28479,51.83979,32.28479,1/21/2000,37.52631174
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,49.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,50.28479,35.28479,32.28479,53.78479,41.28479,1/22/2000,35.26305087
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,33.28479,32.28479,32.28479,32.28479,32.28479,1/23/2000,32.32826826
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,32.28479,46.28479,46.28479,32.28479,32.28479,32.28479,32.28479,32.28479,32.38479,32.38479,32.38479,32.38479,32.38479,33.28479,50.28479,33.28479,32.28479,32.28479,32.28479,1/24/2000,34.39348565
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,41.28479,32.28479,32.28479,32.28479,46.28479,46.28479,46.28479,46.28479,32.38479,32.38479,32.28479,32.28479,32.28479,50.28479,50.28479,49.28479,32.28479,32.28479,32.28479,1/25/2000,37.42392043
Sistema,Sistema,32.28479,32.28479,32.28479,32.28479,32.28479,49.96879,49.96879,50.28479,50.28479,50.28479,51.28479,51.28479,50.28479,49.28479,33.28479,49.28479,49.96879,32.28479,50.28479,50.28479,49.96879,49.96879,49.96879,32.28479,1/26/2000,44.76757261
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,49.28479,46.28479,49.28479,46.28479,46.28479,49.28479,49.28479,46.28479,46.28479,46.28479,46.28479,46.28479,33.28479,46.28479,50.28479,46.28479,49.28479,49.28479,33.28479,1/27/2000,43.85000739
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,51.28479,51.23479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,51.28479,33.28479,51.28479,51.28479,51.28479,51.23479,51.23479,33.28479,1/28/2000,46.58261609
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,51.28479,34.28479,34.28479,34.28479,33.28479,33.28479,33.28479,33.28479,33.28479,51.28479,51.28479,51.28479,33.28479,51.23479,33.28479,1/29/2000,37.32609435
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,35.28479,51.28479,51.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,33.28479,51.28479,33.28479,33.28479,33.28479,33.28479,1/30/2000,35.71957261
Sistema,Sistema,33.28479,33.28479,33.28479,33.28479,33.28479,35.28479,51.28479,35.28579,51.27479,51.28479,51.28479,51.28479,51.28479,51.27479,51.27479,51.27479,51.27479,35.28479,51.28479,51.28479,51.28479,51.28479,35.28479,33.28479,1/31/2000,44.58700739
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,33.79988,33.79988,33.79988,49.79988,49.79988,49.79988,49.78988,33.79988,33.79988,33.79988,34.79988,34.79988,51.79988,51.79988,51.79988,49.79988,33.79988,33.79988,2/1/2000,40.40814087
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,47.94588,49.45988,33.79988,33.79988,33.79988,34.79988,34.79988,33.79988,34.79988,34.79988,34.79988,34.79988,34.79988,51.79988,51.79988,51.79988,34.79988,33.79988,33.79988,2/2/2000,37.79144522
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.79988,34.79988,34.79988,33.79988,34.79988,34.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.79988,51.79988,34.79988,34.79988,33.79988,33.79988,2/3/2000,34.93031478
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.79988,34.79988,34.79988,35.80088,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.79988,51.79988,33.79988,49.14488,33.79988,33.79988,2/4/2000,35.51057565
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.89988,35.80088,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,33.79988,33.79988,33.79988,33.79988,2/5/2000,34.63035826
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,35.80088,33.79988,33.79988,33.79988,33.79988,2/6/2000,33.88688
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,33.79988,33.79988,33.79988,33.79988,34.89988,49.69988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.69988,51.79988,49.69988,33.79988,33.79988,33.79988,2/7/2000,37.39988
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,51.79988,33.79988,33.79988,33.79988,33.79988,49.78988,49.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.78988,51.79988,49.78988,50.69988,33.79988,33.79988,2/8/2000,38.88118435
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.78988,51.79988,49.78988,33.79988,33.79988,33.79988,2/9/2000,35.97292348
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,33.79988,33.79988,33.79988,33.79988,33.79988,49.77988,33.79988,33.79988,33.79988,33.79988,33.79988,34.80088,49.79988,51.79988,49.79988,33.79988,33.79988,33.79988,2/10/2000,37.40774957
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.29988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.89988,49.29988,49.29988,49.29988,33.79988,33.79988,2/11/2000,36.49988
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,51.79988,51.79988,51.79988,51.79988,51.79988,33.79988,33.79988,33.79988,33.79988,33.79988,54.79988,55.79988,54.79988,51.79988,48.79988,33.79988,2/12/2000,41.93031478
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.84988,33.79988,33.79988,33.79988,33.79988,33.79988,54.79988,55.79988,55.79988,51.79988,33.79988,49.79988,2/13/2000,38.14988
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,52.79988,51.79988,34.84988,33.89988,34.84988,51.79988,51.79988,51.79988,34.84988,33.79988,33.79988,33.89988,34.84988,54.29988,55.79988,54.79988,51.79988,54.29988,51.79988,2/14/2000,43.16509739
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,51.79988,54.29988,51.79988,51.79988,51.79988,54.79988,54.79988,54.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,54.79988,56.79988,54.79988,51.79988,54.29988,51.79988,2/15/2000,50.53901043
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,49.79988,54.29988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,51.79988,34.79988,54.79988,57.79988,54.79988,51.79988,54.29988,54.29988,2/16/2000,49.47379304
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,49.79988,54.79988,54.29988,54.29988,54.29988,54.29988,54.29988,54.79988,54.29988,54.29988,54.29988,54.29988,54.29988,33.79988,58.79988,59.79988,54.79988,33.79988,33.79988,49.79988,2/17/2000,49.06074957
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,49.79988,58.79988,58.79988,55.79988,55.79988,58.79988,58.79988,58.79988,55.79988,55.79988,54.49988,54.49988,34.84988,55.79988,58.79988,60.79988,58.79988,54.59988,55.79988,55.79988,2/18/2000,52.72379304
Sistema,Sistema,39.79988,34.14988,33.79988,33.79988,39.79988,55.79988,23.06088,23.79988,39.79988,55.79988,55.39988,55.79988,55.79988,23.79988,23.79988,23.79988,23.79988,23.79988,58.79988,60.79988,58.79988,23.79988,39.79988,55.79988,2/19/2000,40.15688
Sistema,Sistema,53.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,34.14988,54.79988,54.79988,23.06088,54.79988,23.06088,23.06088,23.06088,23.06088,34.14988,53.79988,55.79988,54.79988,23.06088,33.79988,34.14988,2/20/2000,36.52231478
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,54.99988,57.79988,55.79988,55.29988,55.79988,55.79988,55.79988,56.79988,55.79988,55.79988,34.14988,55.79988,55.79988,56.79988,57.79988,60.79988,57.79988,55.79988,55.79988,55.79988,2/21/2000,52.49770609
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,53.79988,56.79988,33.79988,49.79988,49.79988,49.79988,49.79988,49.79988,56.79988,57.79988,56.79988,49.79988,49.79988,33.79988,2/22/2000,43.5824887
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,56.78988,49.79988,49.79988,49.79988,56.79988,56.79988,56.79988,49.79988,49.79988,49.79988,49.79988,49.79988,49.79988,56.79988,56.79988,56.79988,49.79988,33.79988,33.79988,2/23/2000,47.75596696
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,54.79488,49.79988,49.79988,49.79988,55.29988,55.29988,55.29988,49.79988,33.79988,33.79988,33.79988,33.79988,49.79988,55.79988,56.79988,55.79988,46.58288,33.79988,33.79988,2/24/2000,44.46414087
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,49.79988,44.79988,33.99988,44.79988,49.79988,52.79988,52.79988,44.79988,33.79988,23.99988,23.99988,33.79988,49.79988,53.74988,54.79988,52.79988,33.79988,33.79988,33.79988,2/25/2000,40.73683652
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.99988,44.79988,44.79988,44.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,44.79988,47.79988,34.79988,33.79988,33.79988,33.79988,2/26/2000,36.37379304
Sistema,Sistema,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,33.79988,2/27/2000,33.79988
